VER | MOVIMIENTOS |  CUENTA
CONSULTAR | TRANSFERENCIAS |  REALIZADAS
| TRANSFERENCIAS |  TIEMPO REAL
| TRASPASO |  ANULAR PERIODICO
CONSULTA | PLAN |  AMORTIZACIÓN
VER | MOVIMIENTOS |  FONDOS
VER | MOVIMIENTOS |  PLANES
VER | ESTADO |  MERCADO
VER | DETALLE |  VALOR
| CONSULTAS |  DIVISAS
VER | INFORMACIÓN |  CUENTA
| EXTRACTO |  MENSUAL CUENTAS
SOLICITAR | TALONARIOS |
VER | MOVIMIENTOS |  TARJETA
GESTIONAR | TRANSFERENCIAS |
GESTIONAR | TRASPASOS |
REALIZAR | TRASPASOS |
REALIZAR | TRANSFERENCIAS |
| ENVÍO |  DINERO
| REMESAS |
| MÓVIL |  EFECTIVO
REALIZAR | TRASPASO |
PAGO | IMPUESTOS |
CONFIRMA | BORRADOR |
ENVIAR | FICHERO |  PADRE
COMPRAR | VALORES |
REALIZAR | APORTACIÓN |
REALIZAR | REEMBOLSO |
REALIZAR | APORTACIÓN |
CARGAR | TARJETA |
RECARGAR | MÓVIL |
| RELACIÓN |  CARTERAS IICS
| RELACIÓN |  CARTERAS
| CARTERA |  SICAVS
| CARTERA |  IICS
| OPERACIONES |  IICS
| OPERACIONES |  SICAVS
INFORMES | CARTERA |
INFORMES | CARTERA |  IICS
| RELACIÓN |  CARTERAS GESTIONADAS
| DATOS |  CARTERAS GESTIONADAS
| POSICIÓN |  CARTERA GESTIONADA
| EXTRACTO |  OPERACIONES CARTERA GESTIONADA
| PYG |  LATENTES CARTERA GESTIONADA
| AVANCE |  PYG FISCAL CARTERA
RESUMEN | CARTERA |  GESTIONADA
| VISTA |  AÉREA CARTERA GESTIONADA
| RELACIÓN |  CARTERAS ASESORADAS
| DATOS |  CARTERAS ASESORADAS
| POSICIÓN |  CARTERA ASESORADA
| EXTRACTO |  OPERACIONES CARTERA ASESORADA
| PYG |  LATENTES CARTERA ASESORADA
| AVANCE |  PYG FISCAL CARTERA
RESUMEN | CARTERA |  ASESORADA
| VISTA |  CARTERA AÉREA ASESORADA
DESCARGAR | TARJETA |
BLOQUEAR | TARJETA |
| ENVÍO |  DINERO
| TRASPASO |  EFECTIVO
GESTIONAR | PAGOS |  PERSONALIZADOS
VER | MOVIMIENTOS |  TARJETA PREPAGO
VER | MOVIMIENTOS |  TARJETA
SOLICITAR | RECIBOS |
| ORDEN |
CANCELAR | ORDEN |
SOLICITAR | MONEDA |  EXTRANJERA
AÑADIR | ALERTAS |  CUENTA
AÑADIR | ALERTAS |  TARJETAS
AÑADIR | ALERTAS |  TARJETAS
AÑADIR | ALERTAS |  TARJETAS PREPAGO
| COMPRAVENTA |  WARRANTS
VER | INFORMACIÓN |  TARJETA
CONSULTA | CONDICIONES |  DEPÓSITO
CONSULTA | CONDICIONES |  PRÉSTAMOS
CONSULTA | CONDICIONES |  FONDOS
CONSULTAR | CONDICIONES |  CUENTAS
GESTIONAR | RECIBOS |
VER | MOVIMIENTOS |  CUENTAS
| COLABOR |
DESVIO | CUENTAS |
CUENTAS | CLARAS |
| OTE |  ORDEN TRASPASO
CONSULTAR | TRANSFERENCIAS |  RECIBIDAS
CONSULTAR | TRASPASOS |  REALIZADOS
| RELACIÓN |  TRANSFERENCIAS
IBAN | CONSULTA |
| BUSCADOR |  MOVIMIENTOS
CONSULTA | CONDICIONES |  VALORES
VER | CHEQUES |  RECIBIDOS
VER | VENTA |  DIVISAS
VER | COMPRA |  DIVISAS
VER | ENVÍOS |  CUENTA
VER | TIPO |  GASTO
VER | TIPO |  COMISIÓN
VER | INGRESOS |
VER | INGRESOS |
VER | MOVIMIENTOS |
VER | PAGOS |
VER | PAGOS |  CATEGORÍA
VER | PAGOS |
VER | REINTEGROS |  CAJERO
VER | REINTEGROS |
VER | REMESAS |
VER | TRANSFERENCIAS |
VER | TRASPASOS |
VER | TRASPASO |
VER | RECARGAS |
VER | PAGOS |  EMISORA
VER | TRANSFERENCIAS |  REMITENTE
| TARJETAS |  CLARAS
ACTIVAR | TARJETA |
OBTENER | CIP |  CLAVE
CAMBIAR | CIP |  CLAVE
CAMBIAR | IMAGEN |  TARJETA
MODIFICAR | LÍMITE |
CAMBIAR | FORMA |  PAGO
| OPERACIONES |  TARJETA
VISUALIZAR | TARJETA |  VIRTUAL
VER | PAGOS |  CATEGORÍA
VER | PAGOS |
VER | RECARGAS |
VER | RECIBOS |  TARJETA
VER | TRASPASOS |  TARJETA
VER | TRASPASOS |  TARJETA
VER | MOVIMIENTOS |  TARJETA
CONSULTA | DETALLE |  MOVIMIENTO TARJETA CRÉDITO
CONSULTA | DETALLE |  MOVIMIENTO TARJETA DÉBITO
CONSULTA | DETALLE |  MOVIMIENTO TARJETA PREPAGO
VER | INFORMACIÓN |  TARJETA
VER | INFORMACIÓN |  TARJETA PREPAGO
VER | RECIBOS |  PRÉSTAMO
AMORTIZAR | CAPITAL |
AÑADIR | ALERTAS |  PRÉSTAMOS
VER | INFORMACIÓN |  PRÉSTAMO
| OPERACIONES |  PRÉSTAMOS
CONSULTA | MOVIMIENTOS |  PRÉSTAMOS
CONSULTA | DETALLE |  MOVIMIENTO
| CANCELACIÓN |  TOTAL
VER | AMORTIZACIONES |
VER | CUOTAS |
CANCELAR | DEPÓSITO |
AÑADIR | ALERTAS |  DEPÓSITOS
VER | INFORMACIÓN |  DEPÓSITO
| OPERACIONES |  DEPÓSITOS
CONSULTA | MOVIMIENTOS |  DEPÓSITOS
CONSULTA | DETALLE |  MOVIMIENTOS
CONTRATAR | DEPÓSITO |
REALIZAR | TRASPASO |  FONDO
VER | FICHA |  FONDO
GESTIONAR | APORTACIÓN |  PERIÓDICA
GESTIONAR | INFORMACIÓN |  PERIÓDICA
AÑADIR | ALERTAS |  FONDOS
VER | INFORMACIÓN |  FONDO
| OPERACIONES |  FONDOS
CONSULTA | DETALLE |  MOVIMIENTOS
CONSULTA | VALOR |  LIQUIDATIVO
CONSULTA | VALOR |  LIQUIDATIVO
| FICHA |  FONDO
| ANALISTA |  FONDOS
VER | APORTACIONES |  FONDOS
VER | REEMBOLSOS |
GESTIONAR | PLAN |  AHORRO
REALIZAR | TRASPASO |  PLAN
AÑADIR | ALERTAS |  PLANES
VER | INFORMACIÓN |  PLAN
| OPERACIONES |  PLANES
CONSULTA | DETALLE |  MOVIMIENTOS
CONSULTA | VALOR |  LIQUIDATIVO
CONSULTA | CONDICIONES |  PLANES
| FICHA |  FONDO
| ANALISTA |  PLANES
VER | APORTACIONES |  PLANES
VER | DETALLES |  CUENTA
VENDER | VALORES |
| GESTIÓN |  ÓRDENES
AÑADIR | ALERTAS |  CUENTAS
| OPERACIONES |  CUENTAS
CONSULTA | DETALLE |  ORDEN
| CARTERA |  VIRTUAL
| CARTERA |  VALORES
| COMPRAVENTA |  ETFS
| COMPRAVENTA |  DERECHOS
| GESTIÓN |  ÓRDENES
| AMPLIACIONES |  CAPITAL
VER | MOVIMIENTOS |  VALOR
VER | RENTABILIDAD |  VALOR
COMPRAR | TÍTULOS |  VALOR
VENDER | TÍTULOS |  VALOR
| STOP |  LOSS
AÑADIR | ALERTAS |  VALORES
| OPERACIONES |  VALORES
VER | COMPRAS |  VALOR
VER | VENTAS |  VALOR
VER | DIVIDENDOS |  ACCIÓN
VER | RECIBOS |  SEGUROS
AÑADIR | ALERTAS |  SEGUROS
VER | INFORMACIÓN |  SEGURO
| OPERACIONES |  SEGUROS
CONSULTA | CONDICIONES |  SEGUROS
CONSULTA | CONDICIONES |  SEGUROS AHORRO
CONSULTA | MOVIMIENTOS |  SEGUROS AHORRO
VER | TRASPASOS |
VER | DETALLE |  RECIBOS
DESCARGAR | RECIBO |
HISTÓRICO | PAGOS |
CONSULTA | RECIBOS |
VER | DETALLE |  RECIBOS DOMICILIADOS
SOLICITAR | RECIBOS |  DOMICILIADOS
HISTÓRICO | PAGOS |
DEVOLVER | RECIBO |
CONSULTA | RECIBOS |  DOMICILIADOS
VER | DETALLE |  DOMICILIACIONES
MODIFICAR | DOMICILIACIÓN |
CONSULTA | DOMICILIACIONES |
VER | RECIBOS |  DOMICILIACIÓN
CONSULTA | DATOS |  FISCALES
CONSULTA | ÓRDENES |  PAGO
CONSULTA | TRAMITACIÓN |  IMPUESTOS
| NOVEDADES |  FISCALES
| INFORMACIÓN |  FISCAL PRODUCTOS
| IMPUESTOS |
AÑADIR | ÁREA |
AÑADIR | BENEFICIARIO |  ÁREA
| MOVIMIENTOS |  IICS
| MOVIMIENTOS |  SICAVS
| RELACIÓN |  DEPÓSITOS
| RELACIÓN |  CUENTAS
| RECIBOS |
| TRASPASO |  CUENTA
PERSONALIZAR | VISIBILIDAD |
PERSONALIZAR | OPERATIVIDAD |
PERSONALIZAR | INDICADOR |  SITUACIÓN
PERSONALIZAR | ALIAS |
GUARDAR | FOTO |
ELIMINAR | FOTO |
AÑADIR | DOMICILIO |  CLIENTE
ELIMINAR | DOMICILIO |  CLIENTE
CONSULTAR | DIRECCIONES |  CONTRATOS
ASOCIAR | CONTRATO |
LISTAR | TELÉFONOS |
MODIFICAR | MÓVIL |  OPERATIVO CLIENTE
AÑADIR | RESTO |  TELÉFONOS
MODIFICAR | MÉTODO |  ACCESO
MODIFICAR | CLAVE |  ACCESO
MODIFICAR | CLAVE |  OPERACIONES
SOLICITAR | CLAVE |  NUEVA OPERACIONES USO SOLO
GESTIONAR | SEGUIMIENTO |  TWITTER
GESTIONAR | CANALES |  FAVORITOS
GESTIONAR | CANALES |  NOTIFICACIONES
GESTIONAR | SERVICIO |  ALERTAS
GESTIONAR | ALERTAS |
GESTIONAR | CANCELACIÓN |
GESTIONAR | ALERTA |  CUENTA
GESTIONAR | ALERTA |  TARJETA
LISTAR | SMS |  ALERTAS
LISTAR | AGENDA |  CONTACTOS
LISTAR | AGENDA |  CONTACTOS
ANADIR | CONTACTO |  AGENDA
ANADIR | CONTACTO |  AGENDA
ACTIVAR | SERVICIO |  CORRESPONDENCIA VIRTUAL
CAMBIAR | CORRESPONDENCIA |  POSTAL
DESACTIVAR | SERVICIO |  CORRESPONDENCIA VIRTUAL
GESTIONAR | INDICADORES |  CORRESPONDENCIA
GESTIONAR | AVISO |  CORRESPONDENCIA NUEVA VIRTUAL
LISTAR | DOCUMENTOS |  CORRESPONDENCIA VIRTUAL
MARCAR | DOCUMENTO |
MARCAR | DOCUMENTO |
VER | PDF |  DOCUMENTO
SOLICITAR | DOCUMENTO |  DUPLICADO
ALTA | OPERACIÓN |  ÁGIL
BAJA | OPERACIÓN |  ÁGIL
| MODIFICACIÓN |  OPERACIÓN ÁGIL
CONSULTA | OPERACIONES |  ÁGILES
VER | DETALLE |  MOVIMIENTO
ADJUNTAR | COMENTARIOS |
ADJUNTAR | NOTAS |
VER | PDF |  MOVIMIENTO
VER | POSICIÓN |  GLOBAL
CONSULTAR | CUENTAS |
CONSULTAR | TARJETAS |
CONSULTAR | DEPÓSITOS |
CONSULTAR | FONDOS |
CONSULTAR | PLANES |
CONSULTAR | VALORES |
CONSULTAR | SEGUROS |
VALIDAR | MÓVIL |  OPERATIVO
VALIDAR | E-MAIL |
CONSULTAR | NOTIFICACIONES |
ALTA | CLIENTE |
ALTA | USUARIO |  OPERATIVO
ALTA | USUARIO |  REGISTRADO
RESETEAR | ACCESO |  CLAVE
RESETEAR | ACCESO |  CLAVE
RESETEAR | ACCESO |  CLAVE
RESETEAR | ACCESO |  CLAVE
CONTRATAR | TARJETA |
CONTRATAR | TARJETA |
CONTRATAR | TARJETA |  REGALO
CONTRATAR | TARJETA |  VIRTUAL
CONTRATAR | TARJETA |  40
CONTRATAR | CUENTA |  VALORES
| OPERACIONES |  CUENTA
| OPERACIONES |  TARJETA PREPAGO
| OPERACIONES |  TARJETA
| OPERACIONES |
PIDE | OPERACIONES |
PERSONALIZAR | CAMBIO |  FORMA
PERSONALIZAR | CAMBIO |  CUENTA
PERSONALIZAR | MODIFICACIÓN |  CORREO ELECTRÓNICO TARJETA VIRTUAL
PAUSAR | APORTACIÓN |  FONDO
MODIFICAR | TRASPASO |  FONDO
MODIFICAR | REEMBOLSO |  FONDO
MODIFICAR | APORTACIÓN |  FONDO
CANCELAR | TRASPASO |  FONDO
CANCELAR | REEMBOLSO |  FONDO
CANCELAR | APORTACIÓN |  FONDO
| APORTACIÓN |  ANULAR PLAN
CANCELAR | APORTACIÓN |  PLAN
MODIFICAR | APORTACIÓN |  PLAN
PAUSAR | APORTACIÓN |  PLAN
REANUDAR | APORTACIÓN |  PLAN
REANUDAR | APORTACIÓN |  FONDO
CANCELAR | TRASPASO |  PLAN
MODIFICAR | TRASPASO |  PLAN
IR | FICHA |  CUENTAS
IR | FICHA |  TARJETAS
IR | FICHA |  DEPÓSITOS
IR | FICHA |  PRÉSTAMOS
IR | FICHA |  FONDOS
IR | FICHA |  PLANES
IR | FICHA |  VALORES
IR | FICHA |  SEGUROS
IR | FICHA |  CARTERAS
| CARGA |  TARJETA VIRTUAL
| CARGA |  TARJETA PREPAGO
| ACEPTACIÓN |  USO
| TARJETAS |
ES | TARJETAS |
ASOCIAR | TARJETA |  WALLET
DESASOCIAR | TARJETA |  WALLET
| TARJETA |  ALTA WALLET
| TARJETA |  ALTA COUPONING
ALTA | SERVICIO |  NFC
BAJA | SERVICIO |  NFC
PERSONALIZAR | CUENTA |  ASOCIADA
CONSULTAR | OFERTAS |  PÚBLICAS VENTA
| ORDEN |  ANULAR VALORES
MODIFICAR | ORDEN |  VALORES
| OPV |  ANULAR
VER | RENTABILIDAD |
| EXTRACTO |  MENSUAL CARTERA GESTIONADA
| AVANCE |  FISCAL RETENCIONES CARTERA
| VALORACIÓN |  FIN MES CARTERA
| EXTRACTO |  MENSUAL CARTERA ASESORADA
| AVANCE |  FISCAL RETENCIONES CARTERA
| VALORACIÓN |  MES CARTERA
VER | INFORMACIÓN |  PIAS
| OPERACIONES |  PIAS
CONSULTA | CONDICIONES |  PIAS
VER | INFORMACIÓN |  HIPOTECA BIENESTAR
| OPERACIONES |  HIPOTECA BIENESTAR
CONSULTA | CONDICIONES |  HIPOTECA BIENESTAR
VER | INFORMACIÓN |  EUROPLAZO
| OPERACIONES |  EUROPLAZO
CONSULTA | CONDICIONES |  EUROPLAZO
VER | INFORMACIÓN |  PPA
| OPERACIONES |  PPA
CONSULTA | CONDICIONES |  PPA
VER | INFORMACIÓN |  RENTA
| OPERACIONES |  RENTA
CONSULTA | CONDICIONES |  RENTA
| TRANSFERENCIA |  ANULAR DIFERIDA
| TRANSFERENCIA |  ANULAR PERIÓDICA
MODIFICAR | TRANSFERENCIA |  DIFERIDA
MODIFICAR | TRANSFERENCIA |  PERIÓDICA
REALIZAR | TRANSFERENCIA |  DIFERIDA
REALIZAR | TRANSFERENCIA |  PERIÓDICA
REALIZAR | TRASPASO |  PERIÓDICO
| ASESORAMIENTO |  SEGUROS
CONTRATAR | CUENTA |
CONTRATAR | DEPÓSITO |
CONTRATAR | FONDO |
CONTRATAR | PLAN |
CONTRATAR | TARIFA |  BOLSA
AÑADIR | MÓVIL |  OPERATIVO CLIENTE
MODIFICAR | TELÉFONO |  PARTICULAR
MODIFICAR | TELÉFONO |  TRABAJO
ELIMINAR | TELÉFONO |  PARTICULAR
ELIMINAR | TELÉFONO |  TRABAJO
AÑADIR | CLIENTE |  EMAIL
MODIFICAR | CLIENTE |  EMAIL
ELIMINAR | CLIENTE |  EMAIL
GESTIONAR | CANALES |  MEDIOS FAVORITOS
EDITAR | CONTACTO |  AGENDA
EDITAR | CONTACTO |  AGENDA
ELIMINAR | CONTACTO |  AGENDA
IMPORTAR | CONTACTOS |  REDES SOCIALES
RENTA |  |
RENTA |  |
| INVERSIONES |  ALTERNATIVAS
| LIQUIDEZ |
| MONETARIOS |  ACTIVOS
| DERIVADOS |
PIDE | ACTIVACIÓN |  PRÉSTAMO
PIDE | DISPOSICIÓN |  PRÉSTAMO
CONTRATAR | HOGAR |
CONTRATACION | CUENTAS |
CONTRATACION | DEPOSITOS |
CONTRATACION | FONDOS |
CONTRATACION | PLANES |
CONTRATACION | TARJETA |  DIRECTA
CONTRATACION | TARJETA |  DIRECTA
CONTRATACION | TARJETA |  DIRECTA
CONTRATACION | TARJETA |  DIRECTA VIRTUAL
CONTRATACION | TARJETA |  DIRECTA ANIVERSARIO
CONTRATACION | CUENTA |  DIRECTA VALORES
TARIFA | CONTRATACION |  DIRECTA
CONTRATACION | SEGUROS |  HOGAR
ELIMINAR | CONTACTO |  AGENDA
| TRASPASO |  ANULAR DIFERIDO
REALIZAR | TRASPASO |  DIFERIDO
VER | DETALLE |  PAGO PERSONALIZADO
VER | SIMULACIÓN |  PAGO PERSONALIZADO
ABONAR | IMPORTE |  PENDIENTE PAGO PERSONALIZADO
MODIFICAR | PLAZOS |  PAGO PERSONALIZADO
VER | RECIBOS |  CARGOS PERSONALIZADOS
REALIZAR | TRASPASO |  EXTERNO
CANCELAR | TRASPASO |  EXTERNO PLAN
MODIFICAR | TRASPASO |  EXTERNO PLAN
REALIZAR | APORTACIÓN |  FONDOS INTERNACIONALES
GESTIONAR | APORTACIÓN |  PERIÓDICA INTERNACIONALES
REALIZAR | TRASPASO |  EXTERNO
CANCELAR | TRASPASO |  EXTERNO FONDO
| CAMBIO |  PERIODICIDAD
MODIFICAR | TRASPASO |  EXTERNO
COMPRA | ETFS |
| VENTA |  ETFS
COMPRA | WARRANTS |
| VENTA |  WARRANTS
COMPRA | DERECHOS |
| VENTA |  DERECHOS
ALTA | SERVICIO |  BÁSICO
ALTA | SERVICIO |  PREMIUM
ALTA | SERVICIO |  TARJETA SEGURA
BAJA | SERVICIO |  BÁSICO
BAJA | SERVICIO |  PREMIUM
BAJA | SERVICIO |  TARJETA SEGURA
ALTA | ALERTA |
BAJA | ALERTA |
| MODIFICACIÓN |  ALERTA
AÑADIR | ALERTA |  CUENTA
BAJA | ALERTA |
| MODIFICACIÓN |  ALERTA
ALTA | ALERTA |
BAJA | ALERTA |
| MODIFICACIÓN |  ALERTA
ALTA | ALERTA |
BAJA | ALERTA |
| MODIFICACIÓN |  ALERTA
MODIFICAR | TRASPASO |  DIFERIDO
MODIFICAR | TRASPASO |  PERIÓDICO
PERSONALIZAR | PAGO |
CONSULTA | VALORES |  FAVORITOS
MARCAR | VALOR |  FAVORITO
CANCELAR | DOMICILIACIÓN |
CARGAR | TARJETA |  VIRTUAL AJENA
ACTIVAR | EXTRACTO |  NUEVO MENSUAL
DESACTIVAR | EXTRACTO |  NUEVO MENSUAL
VER | REMESAS |  RECIBIDAS
VER | MOVIMIENTOS |  FONDOS INTERNACIONALES
REALIZAR | TRASPASO |  FONDO INTERNACIONAL
REALIZAR | REEMBOLSO |  FONDO INTERNACIONAL
VER | FICHA |  FONDO INTERNACIONAL
GESTIONAR | INFORMACIÓN |  PERIÓDICA
AÑADIR | ALERTAS |  FONDOS INTERNACIONALES
VER | INFORMACIÓN |  FONDO INTERNACIONAL
| OPERACIONES |  FONDOS INTERNACIONALES
CONSULTA | DETALLE |  MOVIMIENTOS
CONSULTA | CONDICIONES |  FONDOS INTERNACIONALES
| FICHA |  FONDO
| ANALISTA |  FONDOS INTERNACIONALES
| SUSCRIPCIÓN |  OPV
VER | REMESAS |  ENVIADAS
| PRÉSTAMOS |
BAJA | TARJETA |  WALLET
BLOQUEO | NFC |
DESBLOQUEO | NFC |
CONSULTA | ESTADO |  NFC
CONSULTA | DISPONIBILIDAD |  NFC
DESCARGA | TARJETA |  VIRTUAL
DESCARGA | TARJETA |  PREPAGO
CUENTA | TARJETA |  CTO
RECARGA | TARJETA |  PREPAGO
ALTA | NOTIFICACIONES |  PUSH
BAJA | NOTIFICACIONES |  PUSH
CONSULTA | NOTIFICACIONES |  PUSH
| CONTRATACIÓN |  CUENTAS
| CAMBIO |  PIN
CONSULTAR | TRANSFERENCIAS |  PERIÓDICOS
| ENLACE |  ACCESO
MODIFICAR | DIRECCIÓN |  POSTAL
MODIFICAR | DIRECCIÓN |  FISCAL
| CANCELACIÓN |  PARCIAL PRÉSTAMOS
| CONTRATACIÓN |  DIFERIDA CUENTAS
| CONTRATACIÓN |  DIFERIDA DEPÓSITOS
| CONTRATACIÓN |  DIFERIDA TARJETAS
| CONTRATACIÓN |  DIFERIDA MULTIPRODUCTO-DEPÓSITOS
| CONTRATACIÓN |  DIFERIDA MULTIPRODUCTO-TARJETAS
| CONTRATACIÓN |  DIFERIDA
| CONTRATACIÓN |  DIRECTA OCL
ALTA | WALLET |  NUEVO
ALTA | WALLET |  CONTRATO EXISTENTE
ALTA | WALLET |  CONTRATO EXISTENTE
CONSULTA | DISPOSITIVOS |  REGISTRADOS
| REGISTRO |  DISPOSITIVO NUEVO
| OBTENCIÓN |  TOKEN
| CAMBIO |  ALIAS
BAJA | DISPOSITIVO |  REGISTRADO
